               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,            0.023562,            0.018443,          0.00084431,             0.93667,             0.87097,              0.9304,             0.66469,            0.022684,            0.030578,           0.0012413,            0.006535,            0.006535,            0.006535
                  37,            0.023373,            0.018075,          0.00083988,             0.92519,             0.88071,             0.92642,             0.66272,            0.022657,            0.030658,            0.001257,            0.006436,            0.006436,            0.006436
                  38,            0.023139,            0.017953,           0.0008217,             0.93704,             0.87422,             0.92735,             0.66756,            0.022594,            0.030747,           0.0012871,            0.006337,            0.006337,            0.006337
                  39,            0.023135,             0.01786,          0.00081384,             0.93239,             0.88136,             0.92357,             0.66631,            0.022365,            0.030639,           0.0012729,            0.006238,            0.006238,            0.006238
                  40,            0.022868,            0.017736,          0.00078279,             0.94044,              0.8756,             0.92842,             0.66697,            0.022399,            0.030591,           0.0012611,            0.006139,            0.006139,            0.006139
                  41,            0.022802,            0.017756,          0.00082222,             0.93407,             0.88493,             0.93099,             0.67356,            0.022273,            0.030373,           0.0013157,             0.00604,             0.00604,             0.00604
                  42,            0.022543,            0.017324,          0.00077238,             0.93333,             0.88708,             0.92818,             0.66883,            0.022164,            0.030188,           0.0012563,            0.005941,            0.005941,            0.005941
                  43,            0.022447,            0.017397,          0.00075041,             0.94152,             0.87802,             0.92951,             0.67384,            0.021959,            0.030126,           0.0012563,            0.005842,            0.005842,            0.005842
                  44,            0.022366,            0.017393,          0.00076953,             0.94003,             0.87847,             0.93216,              0.6759,            0.021926,            0.029903,           0.0012543,            0.005743,            0.005743,            0.005743
                  45,            0.022319,            0.017171,          0.00077909,             0.94367,             0.88054,             0.93007,             0.67422,            0.021927,            0.029779,           0.0012424,            0.005644,            0.005644,            0.005644
                  46,            0.022104,            0.017146,           0.0007506,             0.94753,             0.87993,             0.93386,             0.67814,            0.021968,            0.029668,           0.0011936,            0.005545,            0.005545,            0.005545
                  47,            0.021798,            0.016931,          0.00077412,             0.94492,             0.87551,             0.92812,             0.67894,            0.021773,            0.029792,           0.0012814,            0.005446,            0.005446,            0.005446
                  48,            0.021613,            0.016708,          0.00075744,             0.94106,             0.87322,             0.92873,             0.68409,            0.021584,            0.029493,           0.0012163,            0.005347,            0.005347,            0.005347
                  49,             0.02159,            0.016642,          0.00073699,             0.94647,             0.87947,             0.93212,             0.68321,            0.021552,            0.029612,           0.0012038,            0.005248,            0.005248,            0.005248
                  50,            0.021599,            0.016615,          0.00073138,             0.93938,             0.88137,             0.93474,             0.67994,            0.021608,            0.029373,           0.0011632,            0.005149,            0.005149,            0.005149
                  51,             0.02146,            0.016661,          0.00070118,             0.93976,             0.88332,             0.93471,             0.68177,            0.021361,            0.029314,           0.0011271,             0.00505,             0.00505,             0.00505
                  52,            0.021291,            0.016599,          0.00067951,             0.93889,             0.88799,             0.93403,             0.68862,            0.021347,            0.029497,           0.0011341,            0.004951,            0.004951,            0.004951
                  53,            0.021108,             0.01628,          0.00068373,             0.94503,             0.87637,              0.9339,             0.68665,            0.021327,            0.029279,           0.0011808,            0.004852,            0.004852,            0.004852
                  54,             0.02093,            0.016255,          0.00066143,             0.94549,             0.88639,             0.93436,             0.68969,            0.021219,            0.029198,           0.0011863,            0.004753,            0.004753,            0.004753
                  55,            0.020887,            0.016087,          0.00071864,             0.93726,             0.88826,             0.93528,              0.6897,             0.02126,            0.029197,           0.0011473,            0.004654,            0.004654,            0.004654
                  56,            0.020646,            0.015852,          0.00064771,             0.94774,             0.87629,             0.93351,             0.69234,            0.021049,            0.028969,           0.0011431,            0.004555,            0.004555,            0.004555
                  57,            0.020582,            0.015827,          0.00071845,             0.94292,             0.88047,              0.9337,             0.69149,             0.02097,            0.028854,           0.0011265,            0.004456,            0.004456,            0.004456
                  58,            0.020424,            0.015773,          0.00061014,             0.93488,             0.88939,             0.93455,             0.69058,            0.020994,            0.028724,           0.0011849,            0.004357,            0.004357,            0.004357
                  59,            0.020293,             0.01573,          0.00065865,             0.94233,             0.88485,             0.93515,             0.68893,            0.020996,            0.028917,           0.0011426,            0.004258,            0.004258,            0.004258
                  60,            0.020168,            0.015655,           0.0006731,             0.94703,             0.87737,             0.93447,             0.69661,            0.020826,            0.028802,           0.0011531,            0.004159,            0.004159,            0.004159
                  61,            0.020126,            0.015654,          0.00063958,              0.9433,             0.87859,             0.93169,             0.69646,            0.020725,            0.028902,           0.0011448,             0.00406,             0.00406,             0.00406
                  62,            0.019827,            0.015272,          0.00059077,             0.94906,             0.88451,             0.93474,             0.69785,            0.020766,            0.028646,           0.0010692,            0.003961,            0.003961,            0.003961
                  63,            0.019677,            0.015123,          0.00059042,             0.95609,             0.87737,             0.93493,             0.69732,            0.020711,            0.028725,           0.0010976,            0.003862,            0.003862,            0.003862
                  64,            0.019775,             0.01522,           0.0006063,             0.94294,              0.8901,             0.93662,             0.69735,            0.020635,            0.028533,           0.0011419,            0.003763,            0.003763,            0.003763
                  65,            0.019458,            0.015075,          0.00060953,              0.9384,              0.8849,             0.93469,             0.69791,            0.020619,            0.028835,           0.0011407,            0.003664,            0.003664,            0.003664
                  66,            0.019413,            0.014839,          0.00062286,             0.93891,             0.88769,             0.93556,             0.69966,            0.020585,            0.029105,           0.0011211,            0.003565,            0.003565,            0.003565
                  67,            0.019418,            0.014861,          0.00060828,             0.94172,             0.88813,             0.93337,             0.69984,            0.020538,            0.028935,           0.0011429,            0.003466,            0.003466,            0.003466
                  68,            0.019421,            0.014898,          0.00060635,             0.94717,             0.88633,             0.93446,             0.70194,            0.020431,             0.02847,           0.0011116,            0.003367,            0.003367,            0.003367
                  69,            0.019236,            0.014766,          0.00059212,             0.95593,             0.88144,             0.93417,             0.70496,            0.020482,            0.028589,           0.0010828,            0.003268,            0.003268,            0.003268
                  70,            0.019244,            0.014908,          0.00059098,              0.9385,             0.89206,             0.93464,             0.70257,            0.020447,            0.028762,           0.0010918,            0.003169,            0.003169,            0.003169
                  71,            0.018953,            0.014633,          0.00055438,             0.94265,             0.89044,             0.93326,             0.70289,             0.02037,            0.028575,           0.0010967,             0.00307,             0.00307,             0.00307
                  72,            0.018794,            0.014313,          0.00054556,             0.93747,             0.89137,             0.93451,             0.70315,            0.020343,             0.02849,           0.0010903,            0.002971,            0.002971,            0.002971
                  73,            0.018819,             0.01439,          0.00057866,             0.94764,             0.88479,             0.93246,             0.70344,            0.020284,            0.028576,             0.00107,            0.002872,            0.002872,            0.002872
                  74,             0.01853,            0.014031,          0.00056333,             0.94495,             0.89214,             0.93423,             0.70563,            0.020272,            0.028599,           0.0010318,            0.002773,            0.002773,            0.002773
                  75,            0.018531,            0.014321,          0.00054884,             0.95141,             0.88322,             0.93566,             0.70596,            0.020257,            0.028493,           0.0010903,            0.002674,            0.002674,            0.002674
                  76,            0.018437,             0.01404,          0.00054366,             0.95108,             0.88472,             0.93708,             0.70806,            0.020167,            0.028521,           0.0010479,            0.002575,            0.002575,            0.002575
                  77,            0.018391,            0.013997,           0.0005526,             0.95544,             0.88463,              0.9381,             0.70921,            0.020122,            0.028617,           0.0010449,            0.002476,            0.002476,            0.002476
                  78,            0.018114,            0.013837,          0.00054613,             0.95418,             0.88413,             0.94011,             0.71126,            0.020091,            0.028579,           0.0010286,            0.002377,            0.002377,            0.002377
                  79,            0.018005,             0.01369,          0.00051075,             0.94789,             0.88683,             0.93592,             0.70735,            0.020021,            0.028533,           0.0010339,            0.002278,            0.002278,            0.002278
